sym;sector;industry;company
APD;Materials;Chemicals;Air Products, Inc.
DOW;Materials;Chemicals;Dow Chemical Co, Inc..
SCCO;Materials;Copper;Southern Copper Co.
FCX;Materials;Copper;Freeport McMoRan Inc.
AIG;Financial;Insurance;American Intl Group Inc.
HIG;Financial;Insurance;Hartford Financial Services Group Inc.
AMP;Financial;AssetMgmt;Ameriprise Financial Inc
BLK;Financial;AssetMgmt;BlackRock, Inc.
DELL;Technology;ComputerHardware;Dell Inc.
HPQ;Technology;ComputerHardware;HP, Inc
IBM;Technology;ITServices;Intl Business Machines Co
AI;Technology;ITServices;C3.ai, Inc.
